predicate,kind,declared,hypothesis_sites,suppliers,files_using,hint_supplied_parent,hint_in_proof_ascription,hint,example_sites
NavierStokes.VolterraParity.ForcingParityOn,def,NavierStokes/VolterraParity.lean:41,7,0,1,,,,NavierStokes/VolterraParity.lean:468; NavierStokes/VolterraParity.lean:517; NavierStokes/VolterraParity.lean:526; NavierStokes/VolterraParity.lean:551
NavierStokes.JetBounds.AllJetBound,def,NavierStokes/JetBounds.lean:35,6,0,1,,,,NavierStokes/JetBounds.lean:62; NavierStokes/JetBounds.lean:196; NavierStokes/JetBounds.lean:210; NavierStokes/JetBounds.lean:224
NavierStokes.WaveStateRegularity.CoefficientSupport,def,NavierStokes/WaveStateRegularity.lean:197,6,0,1,,,,NavierStokes/WaveStateRegularity.lean:209; NavierStokes/WaveStateRegularity.lean:248; NavierStokes/WaveStateRegularity.lean:258; NavierStokes/WaveStateRegularity.lean:269
NavierStokes.CycleMeanEquation.StepData,structure,NavierStokes/CycleMeanEquation.lean:191,5,0,1,NavierStokes.ActualStageEstimates.RunData,NavierStokes/CorrectionAnalyticStep.lean:265,route4,NavierStokes/CycleMeanEquation.lean:544; NavierStokes/CycleMeanEquation.lean:562; NavierStokes/CycleMeanEquation.lean:573; NavierStokes/CycleMeanEquation.lean:587
NavierStokes.LocalScheduleWitness.Selected,abbrev,NavierStokes/LocalScheduleWitness.lean:37,5,0,2,,,,NavierStokes/LocalPaperTheorem.lean:128; NavierStokes/LocalScheduleWitness.lean:103; NavierStokes/LocalScheduleWitness.lean:110; NavierStokes/LocalScheduleWitness.lean:131
NavierStokes.LocalizedMeanInteraction.LocalMeanVector,def,NavierStokes/LocalizedMeanInteraction.lean:28,5,0,1,,NavierStokes/LocalizedMeanInteraction.lean:326,route2?,NavierStokes/LocalizedMeanInteraction.lean:34; NavierStokes/LocalizedMeanInteraction.lean:81; NavierStokes/LocalizedMeanInteraction.lean:101; NavierStokes/LocalizedMeanInteraction.lean:132
NavierStokes.MatchingDebtBounds.SeedJets,structure,NavierStokes/MatchingDebtBounds.lean:294,5,0,1,,NavierStokes/MatchingDebtBounds.lean:652,route2?,NavierStokes/MatchingDebtBounds.lean:306; NavierStokes/MatchingDebtBounds.lean:313; NavierStokes/MatchingDebtBounds.lean:340; NavierStokes/MatchingDebtBounds.lean:477
NavierStokes.PhysicalCopyBounds.CommonChart,structure,NavierStokes/PhysicalCopyBounds.lean:336,5,0,2,,,,NavierStokes/PhysicalCopyBounds.lean:356; NavierStokes/PhysicalCopyBounds.lean:437; NavierStokes/PhysicalCopyBounds.lean:461; NavierStokes/PhysicalCopyBounds.lean:681
NavierStokes.PhysicalStageSupport.NativeOuterBounds,structure,NavierStokes/PhysicalStageSupport.lean:234,5,0,1,,,,NavierStokes/PhysicalStageSupport.lean:253; NavierStokes/PhysicalStageSupport.lean:259; NavierStokes/PhysicalStageSupport.lean:277; NavierStokes/PhysicalStageSupport.lean:292
NavierStokes.SmoothParameterIntegral.LocallyDominatedOn,def,NavierStokes/SmoothParameterIntegral.lean:127,5,0,1,,,,NavierStokes/SmoothParameterIntegral.lean:132; NavierStokes/SmoothParameterIntegral.lean:140; NavierStokes/SmoothParameterIntegral.lean:182; NavierStokes/SmoothParameterIntegral.lean:200
NavierStokes.CorrectionStep.PhysicalFields,structure,NavierStokes/CorrectionStep.lean:912,4,0,1,,,,NavierStokes/CorrectionStep.lean:921; NavierStokes/CorrectionStep.lean:940; NavierStokes/CorrectionStep.lean:959; NavierStokes/CorrectionStep.lean:1002
NavierStokes.CycleMeanEquation.BlockData,structure,NavierStokes/CycleMeanEquation.lean:25,4,0,1,NavierStokes.ActualStageEstimates.RunData,,route4,NavierStokes/CycleMeanEquation.lean:30; NavierStokes/CycleMeanEquation.lean:36; NavierStokes/CycleMeanEquation.lean:97; NavierStokes/CycleMeanEquation.lean:159
NavierStokes.DefectIncrementBounds.RankGeometry,structure,NavierStokes/DefectIncrementBounds.lean:726,4,0,3,,,,NavierStokes/CorrectionInitialization.lean:1201; NavierStokes/CorrectionInitializationNoOptions.lean:1212; NavierStokes/CorrectionStep.lean:1065; NavierStokes/CorrectionStep.lean:2217
NavierStokes.DiagonalJetBoundsNoOptions.CutStageBounds,def,NavierStokes/DiagonalJetBoundsNoOptions.lean:210,4,0,1,,,,NavierStokes/DiagonalJetBoundsNoOptions.lean:218; NavierStokes/DiagonalJetBoundsNoOptions.lean:238; NavierStokes/DiagonalJetBoundsNoOptions.lean:289; NavierStokes/DiagonalJetBoundsNoOptions.lean:321
NavierStokes.MeanLocalDefectBounds.LocalBaseBounds,structure,NavierStokes/MeanLocalDefectBounds.lean:27,4,0,1,,,,NavierStokes/MeanLocalDefectBounds.lean:32; NavierStokes/MeanLocalDefectBounds.lean:161; NavierStokes/MeanLocalDefectBounds.lean:232; NavierStokes/MeanLocalDefectBounds.lean:298
NavierStokes.ParticularWaveBounds.CopyControl,structure,NavierStokes/ParticularWaveBounds.lean:563,4,0,1,,,,NavierStokes/ParticularWaveBounds.lean:593; NavierStokes/ParticularWaveBounds.lean:1778; NavierStokes/ParticularWaveBounds.lean:1934; NavierStokes/ParticularWaveBounds.lean:1995
NavierStokes.PhysicalSignedWave.ReferencePhase,structure,NavierStokes/PhysicalSignedWave.lean:142,4,0,1,,,,NavierStokes/PhysicalSignedWave.lean:154; NavierStokes/PhysicalSignedWave.lean:463; NavierStokes/PhysicalSignedWave.lean:794; NavierStokes/PhysicalSignedWave.lean:811
NavierStokes.ReservedPatches.RadialSupported,def,NavierStokes/ReservedPatches.lean:657,4,0,1,,,,NavierStokes/ReservedPatches.lean:662; NavierStokes/ReservedPatches.lean:668; NavierStokes/ReservedPatches.lean:678; NavierStokes/ReservedPatches.lean:689
EulerOrdinarySobolev.SobolevTower,structure,Euler/OrdinarySobolevTower.lean:23,3,0,2,EulerOrdinarySobolev.SmoothLimitData,Euler/OrdinarySmoothLimit.lean:34,route4,Euler/OrdinaryEulerClassicalClass.lean:229; Euler/OrdinarySobolevTower.lean:30; Euler/OrdinarySobolevTower.lean:97
NavierStokes.ActualMeanPhysicalData.Atlas.Valid,def,NavierStokes/ActualMeanPhysicalData.lean:96,3,0,1,,NavierStokes/ActualMeanPhysicalData.lean:133,route2?,NavierStokes/ActualMeanPhysicalData.lean:100; NavierStokes/ActualMeanPhysicalData.lean:116; NavierStokes/ActualMeanPhysicalData.lean:133
NavierStokes.ActualParticularStageControls.Active,def,NavierStokes/ActualParticularStageControls.lean:442,3,0,1,,NavierStokes/ActualParticularStageControls.lean:805,route2?,NavierStokes/ActualParticularGaussian.lean:53; NavierStokes/ActualParticularGaussian.lean:73; NavierStokes/ActualParticularGaussian.lean:101
NavierStokes.ActualWaveRegularity.NativeData,structure,NavierStokes/ActualWaveRegularity.lean:47,3,0,1,,,,NavierStokes/BandReindexedSignedMeanGain.lean:71; NavierStokes/BandReindexedSignedMeanGain.lean:97; NavierStokes/BandReindexedSignedMeanGain.lean:133
NavierStokes.ActualWaveRegularity.ParticularData,structure,NavierStokes/ActualWaveRegularity.lean:606,3,0,1,,,,NavierStokes/ActualWaveRegularity.lean:618; NavierStokes/ActualWaveRegularity.lean:628; NavierStokes/ActualWaveRegularity.lean:808
NavierStokes.ActualWaveRegularity.SignedData,structure,NavierStokes/ActualWaveRegularity.lean:773,3,0,1,,,,NavierStokes/ActualWaveRegularity.lean:781; NavierStokes/ActualWaveRegularity.lean:792; NavierStokes/ActualWaveRegularity.lean:808
NavierStokes.AxisResolvent.JetVanishesBelow,def,NavierStokes/AxisResolvent.lean:71,3,0,1,,NavierStokes/AxisResolvent.lean:347,route2?,NavierStokes/AxisResolvent.lean:74; NavierStokes/AxisResolvent.lean:85; NavierStokes/AxisResolvent.lean:104
NavierStokes.ErrorHarmonics.GaussianData.Compatible,def,NavierStokes/ErrorHarmonics.lean:461,3,0,1,,,,NavierStokes/ErrorHarmonics.lean:467; NavierStokes/ErrorHarmonics.lean:477; NavierStokes/ErrorHarmonics.lean:591
NavierStokes.FlatDyadicExtension.SmallOJets,def,NavierStokes/FlatDyadicExtension.lean:115,3,0,1,,NavierStokes/FlatDyadicExtension.lean:210,route2?,NavierStokes/FlatDyadicExtension.lean:127; NavierStokes/FlatDyadicExtension.lean:161; NavierStokes/FlatDyadicExtension.lean:178
NavierStokes.GaugeMomentBalances.LocalFluxInputs,structure,NavierStokes/GaugeMomentBalances.lean:325,3,0,1,,,,NavierStokes/GaugeMomentBalances.lean:363; NavierStokes/GaugeMomentBalances.lean:391; NavierStokes/GaugeMomentBalances.lean:406
